id;Borough;ZIP.CODE;LATITUDE;LONGITUDE;LOCATION;ON.STREET.NAME;CROSS.STREET.NAME;OFF.STREET.NAME;Persons injured;Persons killed;Pedestrians injured;Pedestrians killed;Cyclist injured;Cyclist killed;Motorist injured;Motorist killed;CONTRIBUTING.FACTOR.VEHICLE.1;CONTRIBUTING.FACTOR.VEHICLE.2;CONTRIBUTING.FACTOR.VEHICLE.3;CONTRIBUTING.FACTOR.VEHICLE.4;CONTRIBUTING.FACTOR.VEHICLE.5;UNIQUE.KEY;Vehicle type1;Vehicle type2;Vehicle type3;Vehicle type4;Vehicle type5;datetime;location2;Number accidents
16799;BROOKLYN;11219;40.641727200000005;-73.99264570000001;(40.6417272, -73.9926457);fort hamilton parkway;42nd street;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3456961;PASSENGER VEHICLE;BICYCLE;;;;2016-06-06 22:00:00;40.6417272 -73.9926457;1
12224;BROOKLYN;11215;40.67740560000001;-73.98304820000001;(40.6774056, -73.9830482);4th avenue;union street;                                        ;2;0;0;0;0;0;2;0;Unspecified;Unspecified;;;;3461429;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-13 12:45:00;40.6774056 -73.9830482;1
12631;QUEENS;11422;40.6634321;-73.7407874;(40.6634321, -73.7407874);brookville boulevard;143rd avenue;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3461556;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-13 09:25:00;40.6634321 -73.7407874;1
7866;QUEENS;11417;40.6804682;-73.8436916;(40.6804682, -73.8436916);;;94-37 LIBERTY AVENUE                    ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3465298;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-20 12:50:00;40.6804682 -73.8436916;1
12023;BROOKLYN;11215;40.6717764;-73.9709335;(40.6717764, -73.9709335);;;8 PROSPECT PARK WEST                    ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3462217;PASSENGER VEHICLE;PICK-UP TRUCK;;;;2016-06-14 21:15:00;40.6717764 -73.9709335;1
5030;QUEENS;11365;40.739942299999996;-73.7889753;(40.7399423, -73.7889753);;;185-22 HORACE HARDING EXPRESSWAY        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3467853;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-24 13:32:00;40.7399423 -73.7889753;1
17722;BROOKLYN;11217;40.680980700000006;-73.9756958;(40.6809807, -73.9756958);;;463 BERGEN STREET                       ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3456337;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-04 16:00:00;40.6809807 -73.9756958;1
19095;BROOKLYN;11204;40.6137964;-73.9966395;(40.6137964, -73.9966395);;;1781 BAY RIDGE PARKWAY                  ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3454978;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-02 16:45:00;40.6137964 -73.9966395;1
19088;QUEENS;11364;40.7362694;-73.7728608;(40.7362694, -73.7728608);73rd avenue;francis lewis boulevard;                                        ;0;0;0;0;0;0;0;0;Unspecified;Unspecified;;;;3454740;PASSENGER VEHICLE;PASSENGER VEHICLE;;;;2016-06-02 16:30:00;40.7362694 -73.7728608;1
8410;BRONX;10459;40.822118700000004;-73.8968793;(40.8221187, -73.8968793);westchester avenue;intervale avenue;                                        ;1;0;1;0;0;0;0;0;Unspecified;;;;;3466613;PASSENGER VEHICLE;;;;;2016-06-20 08:48:00;40.8221187 -73.8968793;1
