id,lat1,lon1,lat2,lon2,street,speed,signed,region,distance,location
88,40.86518964,-73.8499436269999,40.8652651470001,-73.849942111,bouck avenue,25,no,Bronx,0.00521089634526533,40.86518964 -73.8499436269999
17966,40.616372118178795,-74.15675716601041,40.6163562568358,-74.15692852643029,goethals road north,30,yes,Staten Island,0.00907654997582087,40.6163721181788 -74.1567571660104
18134,40.6096651350001,-74.0615928439999,40.609565376,-74.061523485,harbor view place south,25,no,Staten Island,0.00779006995449465,40.6096651350001 -74.0615928439999
16711,40.556991622000105,-74.208128394,40.5570481820001,-74.208079524,arthur kill road,25,no,Staten Island,0.0046739116841850396,40.5569916220001 -74.208128394
1834,40.8945625228422,-73.8802036884494,40.8947252578644,-73.8801063719115,jerome avenue,30,yes,Bronx,0.0123315232495755,40.8945625228422 -73.8802036884494
11081,40.7685018500804,-73.8361300625523,40.7686901753114,-73.8353733936672,31 road,25,no,Queens,0.0417689667735962,40.7685018500804 -73.8361300625523
15703,40.6570849407175,-73.80584688462599,40.6573757032262,-73.8057629473021,north service road,25,no,Queens,0.0205422056439963,40.6570849407175 -73.805846884626
4986,40.6644795128193,-73.8959223116653,40.6629531078997,-73.89553211921191,georgia avenue,25,no,Brooklyn,0.107301392367392,40.6644795128193 -73.8959223116653
3787,40.601484662787,-73.9930525577293,40.5997727286286,-73.99482440022591,bay 31 street,25,no,Brooklyn,0.150457291493918,40.601484662787 -73.9930525577293
7319,40.850618108,-73.941886368,40.8509675990001,-73.94147862300001,haven avenue,25,no,Manhattan,0.032218600528225,40.850618108 -73.941886368
2875,40.811005969250104,-73.9058390027677,40.8110895504424,-73.9059118568467,union avenue,25,no,Bronx,0.00691751916038577,40.8110059692501 -73.9058390027677
5468,40.6435156324405,-73.9806285261855,40.643032727978,-73.9818908613741,louisa street,25,no,Brooklyn,0.0742455464200165,40.6435156324405 -73.9806285261855
5143,40.660888481,-73.884816657,40.6594350550001,-73.883741141,hendrix street,25,no,Brooklyn,0.115116319431754,40.660888481 -73.884816657
5274,40.699210739384206,-73.9312817893231,40.70072641808979,-73.9297887312649,jefferson street,25,no,Brooklyn,0.130713248771057,40.6992107393842 -73.9312817893231
19884,40.5842744810001,-74.154349978,40.584555955999996,-74.154062244,turf court,25,no,Staten Island,0.0246237543074325,40.5842744810001 -74.154349978
6121,40.6661613592594,-73.89541067566209,40.6646088686044,-73.8950171449252,sheffield avenue,25,no,Brooklyn,0.10910177245707002,40.6661613592594 -73.8954106756621
2797,40.8243387936005,-73.87437145727691,40.8265367249899,-73.8748761927821,stratford avenue,25,no,Bronx,0.15395545824614598,40.8243387936005 -73.8743714572769
8713,40.70186316025671,-73.7505317538373,40.7019757571755,-73.7500987095877,113 road,25,no,Queens,0.0240314741457478,40.7018631602567 -73.7505317538373
10334,40.7220362982366,-73.7547153073655,40.7199235839063,-73.75313451234791,210 place,25,no,Queens,0.167749329803889,40.7220362982366 -73.7547153073655
17649,40.612021395999996,-74.122133439,40.6117461970001,-74.12310285,garden street,25,no,Staten Island,0.0543980551953619,40.612021396 -74.122133439
6575,40.6642093133092,-73.8977595690488,40.66268118438921,-73.8973702480385,williams avenue,25,no,Brooklyn,0.10740944278485101,40.6642093133092 -73.8977595690488
9915,40.7282208334248,-73.79390211529041,40.7269970153001,-73.7936630763898,176 street,25,no,Queens,0.0853736052438637,40.7282208334248 -73.7939021152904
7067,40.7180804440573,-73.9875135226309,40.71794983461721,-73.987108447297,delancey street,25,no,Manhattan,0.0230977900397022,40.7180804440573 -73.9875135226309
7141,40.734680932579,-73.9945866563491,40.73392975675289,-73.9927942355655,east 12 street,25,no,Manhattan,0.107415098731351,40.734680932579 -73.9945866563491
11400,40.7454531793208,-73.8630644070967,40.745736526919295,-73.8621238448395,46 avenue,25,no,Queens,0.0530916169284257,40.7454531793208 -73.8630644070967
2428,40.843868897431705,-73.85019862226859,40.8442613273984,-73.8482517474202,poplar street,25,no,Bronx,0.105553149464127,40.8438688974317 -73.8501986222686
917,40.8115151617953,-73.9034186249695,40.810721162951396,-73.9032441555933,east 149 street,25,yes,Bronx,0.05554696332899501,40.8115151617953 -73.9034186249695
17113,40.5952432510001,-74.07050645899992,40.594739403000105,-74.0720838949999,diaz street,25,no,Staten Island,0.0899591909241754,40.5952432510001 -74.0705064589999
2369,40.787338627,-73.88378019899992,40.787302039000004,-73.88344151300001,rikers is br approach,25,no,Bronx,0.0179415407231494,40.787338627 -73.8837801989999
10284,40.7067757680873,-73.7537262959318,40.7050064688735,-73.75293913823059,204 street,25,no,Queens,0.128892951837667,40.7067757680873 -73.7537262959318
15902,40.5674179010001,-73.86993648100001,40.567163104,-73.869798804,rockaway beach boulevard,25,no,Queens,0.0190152133708148,40.5674179010001 -73.869936481
8806,40.6835197070001,-73.74812594799991,40.6830946260001,-73.746792473,130 drive,25,no,Queens,0.0759388896130091,40.6835197070001 -73.7481259479999
8372,40.720336370926795,-74.0054994383483,40.7206369018716,-74.0052099357899,west broadway,25,no,Manhattan,0.0257106621125043,40.7203363709268 -74.0054994383483
1237,40.8528291631354,-73.90475759138971,40.8528721822055,-73.9045980318737,east burnside avenue,25,no,Bronx,0.00887154205781678,40.8528291631354 -73.9047575913897
6514,40.581546175016,-73.9846475721277,40.579060940809796,-73.9841506975966,west 16 street,25,no,Brooklyn,0.173463735817951,40.581546175016 -73.9846475721277
6650,40.7447372390001,-74.00844448,40.745462139000004,-74.00831073099991,11 avenue,35,yes,Manhattan,0.0505100973990187,40.7447372390001 -74.00844448
4927,40.643921063906,-73.91392303561959,40.643482399793,-73.91458314789391,foster avenue,25,yes,Brooklyn,0.0460428333877736,40.643921063906 -73.9139230356196
17974,40.6156908277695,-74.11858280135509,40.6155080000942,-74.1207455305818,governor road,25,no,Staten Island,0.11441762437446701,40.6156908277695 -74.1185828013551
11497,40.7524460700001,-73.7628433469999,40.753168771999995,-73.760189391,54 avenue,25,no,Queens,0.14792308408047303,40.7524460700001 -73.7628433469999
3205,40.684864866999995,-73.9780443339999,40.6844315930001,-73.97839006399991,4 avenue,25,yes,Brooklyn,0.0349801826389186,40.684864867 -73.9780443339999
18374,40.556344402272394,-74.1366681703997,40.5552908806696,-74.135387094239,kelvin avenue,25,no,Staten Island,0.0991460834397835,40.5563444022724 -74.1366681703997
3158,40.890230493942205,-73.84741496063191,40.891940671724704,-73.84807143424929,wickham avenue,25,no,Bronx,0.122914766600374,40.8902304939422 -73.8474149606319
7924,40.7210358582183,-73.9915068893315,40.7207741653955,-73.9906306429897,rivington street,25,no,Manhattan,0.0494192889053844,40.7210358582183 -73.9915068893315
6545,40.612052282287,-73.978470966262,40.6108527305691,-73.97826202677109,west 4 street,25,no,Brooklyn,0.0834963505962862,40.612052282287 -73.978470966262
5053,40.6956323099832,-73.9183936428523,40.696216118379205,-73.9178196676435,grove street,25,no,Brooklyn,0.0503138705460624,40.6956323099832 -73.9183936428523
9648,40.663691511554106,-73.8560905045731,40.6637209427673,-73.8559808106658,155 avenue,25,no,Queens,0.00611103872091312,40.6636915115541 -73.8560905045731
17611,40.562875913,-74.13311127299991,40.561698208,-74.13123917899999,fairbanks avenue,25,no,Staten Island,0.127706577578166,40.562875913 -74.1331112729999
11911,40.745077822,-73.90242984299991,40.74464082,-73.902627017,62 street,25,no,Queens,0.0318803542213018,40.745077822 -73.9024298429999
3066,40.8058252100001,-73.92503885100001,40.806479300999996,-73.92454587600001,willis avenue,25,no,Bronx,0.0520117744018323,40.8058252100001 -73.925038851
13982,40.7096888205826,-73.7471243611004,40.709708235147,-73.7470498990336,connector,25,no,Queens,0.00413296930393498,40.7096888205826 -73.7471243611004
6887,40.7528069797584,-73.96520190474399,40.7533226447243,-73.9648130639717,beekman place,25,no,Manhattan,0.0410173251285985,40.7528069797584 -73.965201904744
9657,40.7716071983136,-73.8090625562919,40.7698629937822,-73.8092928771645,155 street,25,no,Queens,0.120960226800313,40.7716071983136 -73.8090625562919
8550,40.7122112300643,-73.7343819479685,40.711928812364896,-73.7332726926806,103 avenue,25,no,Queens,0.0614162781743834,40.7122112300643 -73.7343819479685
4943,40.7024202273117,-73.9932553260724,40.7024882151591,-73.9931229710483,front street,25,no,Brooklyn,0.008385496138905641,40.7024202273117 -73.9932553260724
13721,40.667587211880395,-73.7373991167758,40.6664051546742,-73.7385660563784,brookville boulevard,25,no,Queens,0.102038821803531,40.6675872118804 -73.7373991167758
15201,40.670330139,-73.857286995,40.6703302430001,-73.857286265,linden boulevard,35,yes,Queens,3.90187635401517e-05,40.670330139 -73.857286995
11994,40.7277612978457,-73.8665572444212,40.7281938402735,-73.8663015941432,63 avenue,25,no,Queens,0.0327247362441339,40.7277612978457 -73.8665572444212
9089,40.6768665543481,-73.7660586658747,40.677435195677795,-73.76367891225199,133 avenue,25,no,Queens,0.131029489006385,40.6768665543481 -73.7660586658747
13720,40.7765316978796,-73.7443221401546,40.7758817956084,-73.744059339367,brookside street,25,no,Queens,0.0469162002338436,40.7765316978796 -73.7443221401546
10727,40.6861669256631,-73.7266307227296,40.685469698367896,-73.726990244704,238 street,25,no,Queens,0.0516836376543971,40.6861669256631 -73.7266307227296
4988,40.677401335303394,-73.8991594816247,40.6773208900471,-73.89912704038059,georgia avenue,25,no,Brooklyn,0.00580659823843074,40.6774013353034 -73.8991594816247
3010,40.8866172958516,-73.9070371506439,40.886374861111,-73.9077825393327,west 236 street,25,no,Bronx,0.0424687966945385,40.8866172958516 -73.9070371506439
1589,40.8056557926807,-73.87929662773709,40.805725426287395,-73.879378995744,halleck street,25,no,Bronx,0.00646057785192263,40.8056557926807 -73.8792966277371
13753,40.7433491326564,-73.85054088985021,40.7428807207687,-73.8502891021603,carousel loop,25,no,Queens,0.0349185420916199,40.7433491326564 -73.8505408898502
1699,40.8393566120001,-73.843612961,40.840073845999996,-73.84330693899992,lane avenue,25,no,Bronx,0.0520253561828175,40.8393566120001 -73.843612961
15854,40.686838605,-73.86701943299991,40.686170479,-73.8660429299999,rockaway boulevard,25,no,Queens,0.0689655824015789,40.686838605 -73.8670194329999
607,40.813109985337604,-73.8540404334192,40.8131536932884,-73.85422943763841,compton avenue,25,no,Bronx,0.0103576714120111,40.8131099853376 -73.8540404334192
10476,40.721836887962105,-73.74682760281159,40.7209352618529,-73.7463425471708,214 street,25,no,Queens,0.0672240869468327,40.7218368879621 -73.7468276028116
14216,40.763879808000105,-73.737318667,40.764579671,-73.73527146,deepdale avenue,25,no,Queens,0.117764107722871,40.7638798080001 -73.737318667
5980,40.702658576432206,-73.965162812114,40.703130456105704,-73.9644267700793,ross street,25,no,Brooklyn,0.0505388185597921,40.7026585764322 -73.965162812114
9106,40.674639546078296,-73.80451270080042,40.6722870194304,-73.8044937296019,134 street,25,no,Queens,0.162331587232886,40.6746395460783 -73.8045127008004
795,40.832934298778895,-73.8603787877508,40.8324210314056,-73.8585866142808,cross bronx expressway sr south,25,no,Bronx,0.100385327104324,40.8329342987789 -73.8603787877508
16620,40.5477600990001,-74.153865599,40.547436196,-74.15463049,beth place,25,no,Staten Island,0.0460474335590378,40.5477600990001 -74.153865599
